Epoch 1, Loss: 0.6267, Val Loss: 0.6180, Time: 27.56 sec
Epoch 2, Loss: 0.6145, Val Loss: 0.6130, Time: 33.41 sec
Epoch 3, Loss: 0.6088, Val Loss: 0.6087, Time: 30.56 sec
Epoch 4, Loss: 0.6073, Val Loss: 0.6078, Time: 28.87 sec
Epoch 5, Loss: 0.6059, Val Loss: 0.6052, Time: 43.06 sec
Epoch 6, Loss: 0.6036, Val Loss: 0.6042, Time: 39.56 sec
Epoch 7, Loss: 0.6032, Val Loss: 0.6049, Time: 41.30 sec
Epoch 8, Loss: 0.6029, Val Loss: 0.6042, Time: 39.89 sec
Epoch 9, Loss: 0.6027, Val Loss: 0.6035, Time: 40.77 sec
Epoch 10, Loss: 0.6026, Val Loss: 0.6034, Time: 40.07 sec
Epoch 11, Loss: 0.6024, Val Loss: 0.6045, Time: 39.63 sec
Epoch 12, Loss: 0.6022, Val Loss: 0.6033, Time: 39.55 sec
Epoch 13, Loss: 0.6021, Val Loss: 0.6034, Time: 33.66 sec
Epoch 14, Loss: 0.6021, Val Loss: 0.6031, Time: 25.18 sec
Epoch 15, Loss: 0.6019, Val Loss: 0.6033, Time: 28.45 sec
Epoch 16, Loss: 0.6019, Val Loss: 0.6033, Time: 30.07 sec
Epoch 17, Loss: 0.6018, Val Loss: 0.6030, Time: 42.10 sec
Epoch 18, Loss: 0.6016, Val Loss: 0.6035, Time: 40.26 sec
Epoch 19, Loss: 0.6018, Val Loss: 0.6031, Time: 40.09 sec
Epoch 20, Loss: 0.6015, Val Loss: 0.6036, Time: 41.14 sec
