Epoch 1, Loss: 0.6215, Val Loss: 0.6075, Time: 30.69 sec
Epoch 2, Loss: 0.6055, Val Loss: 0.6055, Time: 38.00 sec
Epoch 3, Loss: 0.6018, Val Loss: 0.6009, Time: 32.80 sec
Epoch 4, Loss: 0.5982, Val Loss: 0.5978, Time: 37.38 sec
Epoch 5, Loss: 0.5957, Val Loss: 0.5953, Time: 36.55 sec
Epoch 6, Loss: 0.5940, Val Loss: 0.5940, Time: 38.00 sec
Epoch 7, Loss: 0.5923, Val Loss: 0.5927, Time: 33.46 sec
Epoch 8, Loss: 0.5909, Val Loss: 0.5919, Time: 34.54 sec
Epoch 9, Loss: 0.5896, Val Loss: 0.5908, Time: 35.92 sec
Epoch 10, Loss: 0.5883, Val Loss: 0.5895, Time: 27.78 sec
Epoch 11, Loss: 0.5877, Val Loss: 0.5898, Time: 26.61 sec
Epoch 12, Loss: 0.5869, Val Loss: 0.5888, Time: 26.50 sec
Epoch 13, Loss: 0.5865, Val Loss: 0.5881, Time: 26.49 sec
Epoch 14, Loss: 0.5862, Val Loss: 0.5879, Time: 26.93 sec
Epoch 15, Loss: 0.5856, Val Loss: 0.5872, Time: 38.94 sec
Epoch 16, Loss: 0.5853, Val Loss: 0.5869, Time: 31.45 sec
Epoch 17, Loss: 0.5849, Val Loss: 0.5865, Time: 24.06 sec
Epoch 18, Loss: 0.5844, Val Loss: 0.5869, Time: 26.56 sec
Epoch 19, Loss: 0.5842, Val Loss: 0.5863, Time: 40.60 sec
Epoch 20, Loss: 0.5841, Val Loss: 0.5866, Time: 32.68 sec
