Epoch 1, Loss: 0.6263, Val Loss: 0.6148, Time: 29.29 sec
Epoch 2, Loss: 0.6071, Val Loss: 0.6058, Time: 27.85 sec
Epoch 3, Loss: 0.6018, Val Loss: 0.6023, Time: 29.55 sec
Epoch 4, Loss: 0.5993, Val Loss: 0.5995, Time: 32.40 sec
Epoch 5, Loss: 0.5970, Val Loss: 0.5967, Time: 37.23 sec
Epoch 6, Loss: 0.5948, Val Loss: 0.5954, Time: 38.65 sec
Epoch 7, Loss: 0.5931, Val Loss: 0.5943, Time: 38.54 sec
Epoch 8, Loss: 0.5910, Val Loss: 0.5918, Time: 38.69 sec
Epoch 9, Loss: 0.5896, Val Loss: 0.5898, Time: 31.65 sec
Epoch 10, Loss: 0.5886, Val Loss: 0.5899, Time: 38.30 sec
Epoch 11, Loss: 0.5878, Val Loss: 0.5888, Time: 40.10 sec
Epoch 12, Loss: 0.5873, Val Loss: 0.5883, Time: 41.54 sec
Epoch 13, Loss: 0.5866, Val Loss: 0.5881, Time: 40.01 sec
Epoch 14, Loss: 0.5864, Val Loss: 0.5880, Time: 40.45 sec
Epoch 15, Loss: 0.5862, Val Loss: 0.5889, Time: 40.28 sec
Epoch 16, Loss: 0.5858, Val Loss: 0.5876, Time: 39.64 sec
Epoch 17, Loss: 0.5854, Val Loss: 0.5872, Time: 39.18 sec
Epoch 18, Loss: 0.5852, Val Loss: 0.5870, Time: 40.20 sec
Epoch 19, Loss: 0.5850, Val Loss: 0.5868, Time: 40.43 sec
Epoch 20, Loss: 0.5849, Val Loss: 0.5873, Time: 40.45 sec
